Katy Jurado
Cicely Tyson
Denholm Elliott
Henry Travers
William Demarest
Catherine Zeta-Jones
Marisa Pavan
Bobby Darin
Alexander Knox
Rod Steiger
Paul Giamatti
Rachel McAdams
Margaret Leighton
Tess Harper
Janet McTeer
Melissa McCarthy
Mary Pickford
Nigel Hawthorne
Sydney Greenstreet
Burt Reynolds
Bing Crosby
Sylvia Miles
Jack Warden
Beatrice Straight
Timothée Chalamet
Bradley Cooper
Burt Young
Anjelica Huston
Robert Shaw
Cuba Gooding Jr.
Maximilian Schell
Art Carney
Carole Lombard
Keira Knightley
Ralph Fiennes
Laurie Metcalf
Andy Garcia
Jude Law
Elizabeth Hartman
Fred Astaire
Adam Driver
Ellen Corby
Tom Tully
Gwyneth Paltrow
Sophie Okonedo
Janet Gaynor
Tony Curtis
Sam Shepard
Lee Marvin
Dorothy McGuire
James Dunn
Eddie Redmayne
Mildred Dunnock
Ralph Bellamy
Jack Albertson
Paul Newman
Gladys Cooper
Meg Tilly
Joan Crawford
Gary Busey
Mischa Auer
Anthony Franciosa
Emmanuelle Riva
Lillian Gish
Gregory Peck
Brandon De Wilde
Joan Cusack
Margaret Avery
Elisabeth Shue
Warner Baxter
Shohreh Aghdashloo
Gerard Depardieu
Loretta Young
Catherine Deneuve
Jeremy Renner
Susan Hayward
Robert Montgomery
Edna May Oliver
Claude Rains
Burgess Meredith
Danny Aiello
Frank Langella
Louis Gossett Jr.
Barbara Stanwyck
Franchot Tone
Michael J. Pollard
Laurence Harvey
Oprah Winfrey
Bessie Love
Martha Scott
Lorraine Bracco
Ian McKellen
Emma Stone
Martin Landau
Charles Chaplin
Thelma Ritter
Daniel Day-Lewis
Jesse Eisenberg
John Houseman
Mildred Natwick
Pauline Collins
Colin Firth
Burt Lancaster
Ann Blyth
Jon Voight
Woody Allen
Reese Witherspoon
Alice Brady
Alicia Vikander
Trevor Howard
Jocelyne Lagarde
Greer Garson
Tom Hanks
Lupita Nyong'o
Ellen Page
Lee Strasberg
Robert Duvall
Regina King
Rachel Griffiths
Clint Eastwood
Martha Hyer
Winona Ryder
Adriana Barraza
Massimo Troisi
Anne Baxter
Anouk Aimee
Barbara O'Neil
Jill Clayburgh
Michael Chekhov
James Cromwell
Katharine Ross
John Malkovich
Jennifer Hudson
Jacki Weaver
Timothy Hutton
Ron Moody
Richard Castellano
Alan Bates
Tuesday Weld
Andrew Garfield
Lawrence Tibbett
Cher
Kirk Douglas
George Chakiris
Marlee Matlin
Telly Savalas
June Squibb
Judith Anderson
Michael Douglas
Geraldine Fitzgerald
Barkhad Abdi
Victor Buono
Robert Donat
Miranda Richardson
Paul Lukas
Jack Lemmon
Robert Preston
Tom Conti
Cecil Kellaway
Octavia Spencer
Roy Scheider
Tom Hulce
Lindsay Crouse
Ruth Hussey
Kathleen Turner
Dean Stockwell
Candy Clark
Valentina Cortese
Hattie McDaniel
Walter Brennan
Eddie Murphy
Nicole Kidman
Jonah Hill
Naomi Watts
Ann Harding
Melvyn Douglas
Rip Torn
Quvenzhané Wallis
Monty Woolley
Steve McQueen
Keisha Castle-Hughes
Charles Boyer
Christian Bale
Chill Wills
Jean Hagen
Cathy Moriarty
Bonita Granville
Lady Gaga
Red Buttons
Warren Beatty
George Burns
Eileen Heckart
Gale Sondergaard
Ingrid Bergman
Michelle Williams
Linda Blair
John Cassavetes
Judy Garland
Glenn Close
Louis Calhern
Thomas Gomez
Kevin McCarthy
Mark Wahlberg
Mark Rylance
Eddie Albert
Abigail Breslin
Hailee Steinfeld
Lila Kedrova
Lee Grant
Bruce Davison
Sandy Dennis
Jane Darwell
Mary McDonnell
Gene Kelly
Mira Sorvino
Richard Barthelmess
Kay Medford
Mary Astor
Liza Minnelli
Meryl Streep
Dame May Whitty
Holly Hunter
Jackie Cooper
Paulette Goddard
Josephine Hull
Fay Bainter
Betsy Blair
Cary Grant
Adolph Caesar
Patricia Collinge
Robert Forster
Ruby Dee
Ida Kaminska
Adolphe Menjou
Olivia de Havilland
Brenda Vaccaro
Ronee Blakley
Ethel Barrymore
Virginia Madsen
Natalie Wood
Jennifer Lawrence
Frederic Forrest
Anna Magnani
Stuart Whitman
David Strathairn
Gary Cooper
Helen Hayes
Richard Farnsworth
Ava Gardner
John Marley
Angela Bassett
Isabelle Adjani
Kristin Scott Thomas
Jack Oakie
Sandra Bullock
Judy Davis
Nancy Carroll
John Dall
Ethan Hawke
John Hawkes
Chloë Sevigny
Humphrey Bogart
Mickey Rooney
Rex Harrison
Lynn Carlin
Walter Matthau
Thomas Mitchell
Denzel Washington
Marjorie Rambeau
Billie Burke
Frank Sinatra
Amy Irving
Helena Bonham Carter
Laurence Olivier
James Mason
Gene Hackman
Eric Roberts
Thomas Haden Church
Penélope Cruz
Jessica Chastain
Ryan O'Neal
Geraldine Page
Albert Finney
Ethel Waters
Russell Crowe
Jack Gilford
Jason Robards
William H. Macy
James Stewart
Joe Pesci
Melinda Dillon
J.K. Simmons
Tilda Swinton
Gig Young
Daniel Massey
Fredric March
Diahann Carroll
Sondra Locke
Alec Baldwin
Richard Jenkins
Julie Walters
Sam Rockwell
Anna Paquin
Rosemary Harris
Lionel Barrymore
Van Heflin
Eleanor Parker
Richard Harris
Dianne Wiest
Hume Cronyn
Charlton Heston
Geena Davis
Edward Norton
Mary Badham
Hope Emerson
Celia Johnson
Terry Moore
Jim Broadbent
Leonardo DiCaprio
Lilia Skala
Maurice Chevalier
Topol
Diane Lane
Al Pacino
Patricia Clarkson
Carolyn Jones
Jack Kruschen
James Coburn
Nancy Olson
Sessue Hayakawa
Antonio Banderas
Lesley Manville
Eileen Brennan
Graham Greene
Michael Lerner
Ruth Negga
Maria Ouspenskaya
Orson Welles
Diana Scarwid
Ken Watanabe
Mary Tyler Moore
John Garfield
Dame Edith Evans
Sylvester Stallone
George Arliss
Clark Gable
Christopher Plummer
Henry Fonda
Dan O'Herlihy
Richard Dreyfuss
Piper Laurie
John C. Reilly
Mako
Candice Bergen
Akim Tamiroff
Josh Brolin
Peggy Wood
Gabourey Sidibe
Lynn Redgrave
Anne Archer
Ruth Chatterton
Teresa Wright
Glenda Jackson
Karen Black
Dan Aykroyd
Jeff Bridges
George C. Scott
Marion Cotillard
Andrea Leeds
Diane Cilento
Jeff Chandler
Kathleen Quinlan
Brian Aherne
Peter Firth
Salma Hayek
Sigourney Weaver
Marisa Tomei
Erich von Stroheim
Broderick Crawford
Raymond Massey
Anne Bancroft
Dustin Hoffman
Robert Strauss
William Bendix
Grayson Hall
Billy Bob Thornton
Russ Tamblyn
Kevin Costner
Emily Watson
Frank Morgan
Michael Clarke Duncan
Jennifer Jones
Catherine Burns
Leslie Howard
Teri Garr
Kim Stanley
Sara Allgood
Will Smith
William Hurt
Sidney Poitier
James Coco
Jonathan Pryce
Alfred Lunt
Anthony Quayle
Jennifer Connelly
Christoph Waltz
Daniel Kaluuya
Vanessa Redgrave
Lucas Hedges
Bryan Cranston
Joan Plowright
Shirley Knight
Carey Mulligan
James Garner
Mickey Rourke
Glynis Johns
Shirley MacLaine
Dyan Cannon
Jaye Davidson
Stanley Holloway
Rosie Perez
Julie Harris
Judy Holliday
Jack Wild
Martin Balsam
Debra Winger
Bob Hoskins
Joan Hackett
Maggie McNamara
James Caan
George Bancroft
Mare Winningham
Walter Pidgeon
Richard Widmark
Lucile Watson
Susan Tyrrell
Rinko Kikuchi
Sally Field
Susannah York
Dennis Hopper
Kathy Bates
Nicolas Cage
Dan Dailey
David Niven
Peter Fonda
Diane Varsi
Laurence Fishburne
Gary Oldman
Miriam Hopkins
Amy Ryan
Jeanne Eagels
Brenda Fricker
Marianne Jean-Baptiste
Rami Malek
Stanley Tucci
Armin Mueller-Stahl
Marsha Mason
Frank Finlay
Barbra Streisand
Joaquin Phoenix
Lily Tomlin
Gene Lockhart
Harold Russell
Bill Murray
Jane Fonda
Karl Malden
Penelope Milford
Vivien Leigh
Merle Oberon
Peter Finch
Viggo Mortensen
William Hickey
Roland Young
George Sanders
Christine Lahti
Robert Loggia
Joe Mantell
Djimon Hounsou
Charlize Theron
Cloris Leachman
Forest Whitaker
Paul Muni
Lana Turner
Gena Rowlands
Rooney Mara
Gloria Grahame
Michael Caine
Tom Berenger
Rosamund Pike
Peggy Cass
Robert Downey Jr.
George Segal
Diane Ladd
Mahershala Ali
Lee J. Cobb
Ian Bannen
Ed Harris
Harry Carey
Kate Winslet
Melissa Leo
John Mills
Faye Dunaway
Sally Hawkins
Madeline Kahn
Charles Laughton
Gloria Stuart
Justin Henry
Jake Gyllenhaal
Mark Ruffalo
Elizabeth Taylor
Kim Hunter
José Ferrer
Jackie Gleason
John Huston
Donald Crisp
Joseph Schildkraut
Beah Richards
Melina Mercouri
Sissy Spacek
Oskar Werner
Daniel Day Lewis
Michael Keaton
Janet Suzman
Basil Rathbone
Lynn Fontanne
Patricia Neal
Leslie Browne
Mikhail Baryshnikov
Robert De Niro
Alfre Woodard
Mercedes McCambridge
Kim Basinger
Burl Ives
Joan Fontaine
Terrence Howard
Terence Stamp
Sam Waterston
Elsa Lanchester
Emil Jannings
Montgomery Clift
Nina Foch
Nick Nolte
Emma Thompson
Felicity Huffman
Norma Shearer
Estelle Parsons
John Lithgow
Hugh Griffith
Haing S. Ngor
Uma Thurman
Eva Le Gallienne
Klaus Maria Brandauer
Morgan Freeman
Hugh Jackman
Aline MacMahon
Peggy Lee
Jane Alexander
Brie Larson
Tim Robbins
Javier Bardem
Brian Donlevy
Willem Dafoe
